country,gini_market,gini_disposable
Chile,0.5,0.47
Mexico,0.48,0.46
United States,0.51,0.39
Turkey,0.42,0.39
Israel,0.46,0.37
Estonia,0.51,0.36
United Kingdom,0.53,0.36
Lithuania,0.51,0.35
Latvia,0.5,0.35
Spain,0.53,0.35
Greece,0.57,0.34
Portugal,0.56,0.34
Australia,0.48,0.34
New Zealand,0.46,0.33
Japan,0.49,0.33
Italy,0.52,0.33
Canada,0.44,0.32
Ireland,0.56,0.31
South Korea,0.34,0.3
Poland,0.47,0.3
Switzerland,0.39,0.3
France,0.5,0.29
Germany,0.51,0.29
Hungary,0.46,0.29
Netherlands,0.44,0.28
Luxembourg,0.48,0.28
Sweden,0.44,0.28
Austria,0.5,0.28
Slovakia,0.43,0.27
Belgium,0.49,0.27
Czech Rep.,0.46,0.26
Finland,0.5,0.26
Slovenia,0.47,0.26
Denmark,0.44,0.25
Norway,0.41,0.25
Iceland,0.39,0.24