flat_tax,poverty_rate,poverty_gap,gini,percent_better_off,change_poverty_rate,change_poverty_gap,change_gini,change_revenue,ubi,poverty_gap_billions
0,30.048149762505716,593537528078.4438,0.591,30.70892895975171,156.5,275.7,32.9,-2081286387763.1057,-6398.67809024952,593.5
1,29.403673826070904,566374059101.4061,0.584,30.42140815612333,151.0,258.5,31.5,-1963463114549.4875,-6036.443848356582,566.4
2,28.80652948204413,539688578102.38025,0.578,30.17509723330633,145.9,241.6,30.1,-1845639841335.8696,-5674.2096064636435,539.7
3,28.234029703489007,513471009415.5067,0.572,29.916683780265473,141.0,225.0,28.7,-1727816568122.2515,-5311.975364570705,513.5
4,27.651870298887832,487724674995.1271,0.565,29.581846202770418,136.1,208.7,27.2,-1609993294908.6333,-4949.741122677766,487.7
5,27.021381835731482,462510801059.19806,0.559,29.299562483787223,130.7,192.7,25.8,-1492170021695.0151,-4587.506880784827,462.5
6,26.385043805642393,437823236398.73145,0.553,28.97555673429783,125.3,177.1,24.4,-1374346748481.397,-4225.272638891888,437.8
7,25.717268796546506,413670360059.836,0.547,28.55931825598055,119.6,161.8,23.0,-1256523475267.779,-3863.0383969989502,413.7
8,25.04689746525407,390059861894.1565,0.54,28.14130067957578,113.8,146.9,21.6,-1138700202054.1611,-3500.804155106012,390.1
9,24.266861377290784,367096406954.6524,0.534,27.567591637335752,107.2,132.4,20.1,-1020876928840.5428,-3138.5699132130726,367.1
10,23.447769016029525,344767138563.80225,0.528,27.153337942764004,100.2,118.2,18.7,-903053655626.9248,-2776.335671320134,344.8
11,22.54806620015154,323146817433.17456,0.521,26.599591996716974,92.5,104.5,17.3,-785230382413.3064,-2414.101429427195,323.1
12,21.66487548198863,302372909290.2143,0.515,26.02600461716093,85.0,91.4,15.9,-667407109199.6885,-2051.8671875342566,302.4
13,20.76483465272298,282374563515.94635,0.509,25.228279043033485,77.3,78.7,14.5,-549583835986.0703,-1689.6329456413177,282.4
14,19.904312309195525,263160925167.60004,0.503,24.615134830920507,69.9,66.6,13.1,-431760562772.4524,-1327.3987037483796,263.2
15,19.04796631944748,244741993382.8356,0.496,24.080976543175947,62.6,54.9,11.7,-313937289558.8342,-965.1644618554408,244.7
16,17.981461882474022,227190388941.81052,0.49,23.491074247810722,53.5,43.8,10.3,-196114016345.2163,-602.9302199625026,227.2
17,17.025640472689815,210581781179.97418,0.484,22.72764558505455,45.4,33.3,8.9,-78290743131.5979,-240.69597806956307,210.6
18,16.04600033904743,194877114956.9312,0.478,30.48259683709228,37.0,23.3,7.4,39532530082.02002,121.53826382337503,194.9
19,14.997872541217031,180118116677.69543,0.471,32.07597156952177,28.0,14.0,6.0,157355803295.63794,483.77250571631316,180.1
20,13.919963942359386,166381131137.13983,0.465,33.024176212160256,18.8,5.3,4.6,275179076509.2561,846.006747609252,166.4
21,12.868203960176405,153670577603.67087,0.459,34.548281125815755,9.9,-2.7,3.2,393002349722.87427,1208.2409895021908,153.7
22,11.935453592756524,141903633630.34262,0.453,35.52314959076358,1.9,-10.2,1.8,510825622936.4929,1570.4752313951312,141.9
23,10.919435006915728,131051571665.25714,0.446,36.76798935305243,-6.8,-17.1,0.4,628648896150.1106,1932.7094732880687,131.1
24,10.099266044807258,121075197730.07271,0.44,39.20994495357952,-13.8,-23.4,-0.9,746472169363.7288,2294.9437151810075,121.1
25,9.190582282853812,111923215124.6265,0.434,42.69698537676865,-21.5,-29.2,-2.3,864295442577.3464,2657.177957073945,111.9
26,8.459401739003255,103548279487.11075,0.428,46.334335374484795,-27.8,-34.5,-3.7,982118715790.9651,3019.412198966885,103.5
27,7.706324660537605,95929451713.10687,0.422,49.34511604737928,-34.2,-39.3,-5.1,1099941989004.5828,3381.6464408598226,95.9
28,7.096763866863749,88985804461.68404,0.416,51.01772022630586,-39.4,-43.7,-6.5,1217765262218.201,3743.8806827527615,89.0
29,6.56021707313033,82592050819.56337,0.409,52.477523852051675,-44.0,-47.7,-7.9,1335588535431.8186,4106.114924645699,82.6
30,6.004793868037761,76752884966.28522,0.403,54.148251570155104,-48.7,-51.4,-9.3,1453411808645.4373,4468.349166538639,76.8
31,5.389105134060856,71493943590.71252,0.397,55.54513569085613,-54.0,-54.7,-10.7,1571235081859.056,4830.583408431579,71.5
32,4.993587314507573,66719601436.04024,0.391,56.51996253783837,-57.4,-57.8,-12.0,1689058355072.673,5192.817650324515,66.7
33,4.5685131364151355,62340593964.56355,0.385,57.21270728715693,-61.0,-60.5,-13.4,1806881628286.2917,5555.051892217456,62.3
34,4.206768432763468,58371754726.98422,0.379,57.71249894260062,-64.1,-63.1,-14.8,1924704901499.91,5917.286134110394,58.4
35,3.8685120517624703,54740916380.21933,0.373,58.286496067122506,-67.0,-65.4,-16.1,2042528174713.5276,6279.520376003332,54.7
36,3.6034862243150827,51420136994.13097,0.367,58.597891296337714,-69.2,-67.5,-17.5,2160351447927.1458,6641.754617896271,51.4
37,3.3276341150546784,48382799228.28107,0.361,58.86449305106242,-71.6,-69.4,-18.9,2278174721140.7637,7003.988859789209,48.4
38,3.093944448268364,45615731009.329796,0.355,59.12024554601184,-73.6,-71.1,-20.2,2395997994354.382,7366.223101682148,45.6
39,2.862507061419635,43082008843.30594,0.349,59.377000306225256,-75.6,-72.7,-21.6,2513821267568.001,7728.45734357509,43.1
40,2.6562587691725565,40786046738.30525,0.343,59.67798155340817,-77.3,-74.2,-22.9,2631644540781.618,8090.691585468026,40.8
41,2.4839503167891954,38686029754.52809,0.337,59.86507302875654,-78.8,-75.5,-24.3,2749467813995.2363,8452.925827360965,38.7
42,2.3036064980621007,36790966817.64743,0.331,60.09329807865146,-80.3,-76.7,-25.6,2867291087208.8545,8815.160069253903,36.8
43,2.129842308454426,35076998615.76953,0.325,60.30251474608643,-81.8,-77.8,-27.0,2985114360422.4727,9177.394311146842,35.1
44,2.001051967573961,33529215819.35311,0.319,60.412218547461705,-82.9,-78.8,-28.3,3102937633636.092,9539.628553039784,33.5
45,1.868751470876847,32115663429.794426,0.313,60.622825436951665,-84.0,-79.7,-29.6,3220760906849.709,9901.86279493272,32.1
46,1.7105548906596122,30905663984.124023,0.307,60.784177481052915,-85.4,-80.4,-30.9,3338584180063.327,10264.097036825659,30.9
47,1.5884651559944305,29834948324.795013,0.301,60.90427963120671,-86.4,-81.1,-32.2,3456407453276.9453,10626.331278718597,29.8
48,1.4915621363560025,28894500212.83468,0.295,61.010229379561544,-87.3,-81.7,-33.5,3574230726490.5635,10988.565520611537,28.9
49,1.3899564095792416,28086254079.3189,0.29,61.155579428101326,-88.1,-82.2,-34.8,3692053999704.1807,11350.799762504472,28.1
50,1.3002981040951818,27435172472.44613,0.284,61.28182772814751,-88.9,-82.6,-36.1,3809877272917.799,11713.03400439741,27.4
